,Store Number,City_x,2015 Sales,2015 Sales mean,County Number_x,Price per Liter mean_x,Zip Code_x,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 q1 Sales,2015 q1 Sales mean,2015 q1 Volume Sold (Liters),2015 q1 Volume Sold (Liters) mean,2015 q1 Margin mean,City,2016 q1 Sales,2016 q1 Sales mean,County Number,Price per Liter mean,Zip Code,2016 q1 Volume Sold (Liters),2016 q1 Volume Sold (Liters) mean,2016 q1 Margin mean,15-16 q1 Sales Growth,2016 Predicted Sales
258,3710,COLUMBUS JUNCTION,43492.54,226.523645833,58,20.5965195541,52738,2558.78,13.3269791667,75.6099479167,10527.6,210.552,650.48,13.0096,70.2874,COLUMBUS JUNCTION,9749.04,295.425454545,58.0,21.6106143283,52738,549.59,16.6542424242,98.4872727273,-778.56,53389.5672733
259,3712,MONTEZUMA,132194.54,87.8953058511,79,17.0360206909,50171,8856.35,5.88853058511,29.3904986702,34707.79,88.5402806122,2361.25,6.02359693878,29.5774744898,MONTEZUMA,27628.09,91.1818151815,79.0,17.2737623762,50171,1812.25,5.98102310231,30.4300990099,-7079.7,129162.188128
260,3713,MASON CITY,394322.11,190.309898649,17,13.8822586873,50401,33481.25,16.1589044402,63.7212162162,75049.8,182.602919708,6712.5,16.3321167883,61.1150364964,MASON CITY,84796.5,173.054081633,17.0,13.7364956268,50401,7150.5,14.5928571429,57.8266530612,9746.7,371445.768956
261,3715,DAVENPORT,158734.41,86.6454203057,82,23.8202066685,52807,8064.03,4.40176310044,28.9088700873,38327.74,88.7216203704,1882.83,4.35840277778,29.5970601852,DAVENPORT,44699.78,90.3025858586,82.0,24.1629290882,52807,2190.07,4.42438383838,30.1176161616,6372.04,201513.162801
262,3717,SUMNER,94636.13,37.0250899844,9,15.4781533132,50674,7547.98,2.95304381847,12.376056338,18545.8,38.081724846,1493.86,3.06747433265,12.721889117,SUMNER,25006.08,40.9264811784,9.0,15.7889412943,50674,1910.97,3.12761047463,13.6692962357,6460.28,118049.932745
263,3719,MARSHALLTOWN,264772.83,165.070342893,64,14.4286616791,50158,20577.75,12.829021197,55.2336097257,58823.79,164.31226257,4713.75,13.1668994413,54.9850558659,MARSHALLTOWN,56434.08,155.895248619,64.0,13.5780347277,50158,4608.0,12.729281768,52.0627624309,-2389.71,251243.918344
264,3721,DECORAH,474061.6,155.226457105,96,14.5559437249,52101,35703.45,11.6907170923,51.915929928,97350.48,151.165341615,7510.5,11.6622670807,50.5607142857,DECORAH,104035.86,148.41064194,96.0,14.1166897629,52101,7954.5,11.347360913,49.5402282454,6685.38,452983.47542
265,3722,SIOUX CITY,383951.4,165.282565648,97,15.2106516614,51106,27550.75,11.8599870857,55.2595953508,75824.58,155.697289528,5674.5,11.6519507187,52.0772895277,SIOUX CITY,86503.62,162.90700565,97.0,15.6779625146,51106,6033.0,11.3615819209,54.3929943503,10679.04,378680.658757
266,3723,ONAWA,272391.34,42.3033607703,67,16.9604293981,51040,19771.66,3.07061034322,14.1275959,59510.22,39.4630106101,4282.25,2.83968832891,13.1779840849,ONAWA,63980.21,44.8669074334,67.0,17.4193887486,51040,4616.23,3.23718793829,14.972769986,4469.99,283224.926698
267,3726,OTTUMWA,233540.46,159.631209843,90,14.0594583862,52501,17832.0,12.1886534518,53.3723171565,51431.16,162.24340694,3972.0,12.5299684543,54.2560883281,OTTUMWA,53970.24,170.253123028,90.0,16.0628811777,52501,3820.5,12.0520504732,56.8205678233,2539.08,240801.998098
